=== WEIGHTS ONLY ===
Total weights: 288,122,268
2260.weight: 91,266/91,584 zeros (99.65%)
2262.weight: 90,636/91,008 zeros (99.59%)
2264.weight: 90,692/91,008 zeros (99.65%)
2266.weight: 89,496/89,856 zeros (99.60%)
2268.weight: 89,544/89,856 zeros (99.65%)
2270.weight: 87,216/87,552 zeros (99.62%)
2272.weight: 87,248/87,552 zeros (99.65%)
2274.weight: 73,410/73,728 zeros (99.57%)
2276.weight: 73,248/73,728 zeros (99.35%)
2278.weight: 73,440/73,728 zeros (99.61%)
2280.weight: 81,283/81,664 zeros (99.53%)
2282.weight: 91,553/91,872 zeros (99.65%)
2284.weight: 91,206/91,584 zeros (99.59%)
2286.weight: 91,266/91,584 zeros (99.65%)
2288.weight: 90,636/91,008 zeros (99.59%)
2290.weight: 90,692/91,008 zeros (99.65%)
2292.weight: 89,496/89,856 zeros (99.60%)
2294.weight: 89,544/89,856 zeros (99.65%)
2296.weight: 87,216/87,552 zeros (99.62%)
2298.weight: 87,248/87,552 zeros (99.65%)
2300.weight: 73,410/73,728 zeros (99.57%)
2302.weight: 85,584/86,016 zeros (99.50%)
2304.weight: 99,120/99,456 zeros (99.66%)
2306.weight: 100,204/100,640 zeros (99.57%)
2308.weight: 112,412/112,880 zeros (99.59%)
2310.weight: 124,031/124,500 zeros (99.62%)
2312.weight: 149,125/149,625 zeros (99.67%)
2314.weight: 163,089/163,590 zeros (99.69%)
2316.weight: 164,320/164,820 zeros (99.70%)
2318.weight: 165,126/165,624 zeros (99.70%)
2320.weight: 165,952/166,448 zeros (99.70%)
2322.weight: 165,960/166,448 zeros (99.71%)
2324.weight: 165,964/166,448 zeros (99.71%)
2326.weight: 164,368/164,832 zeros (99.72%)
2328.weight: 162,744/163,200 zeros (99.72%)
2330.weight: 140,370/140,800 zeros (99.69%)
2332.weight: 100,994/101,376 zeros (99.62%)
2334.weight: 82,464/82,944 zeros (99.42%)
2336.weight: 73,440/73,728 zeros (99.61%)
2338.weight: 81,283/81,664 zeros (99.53%)
2340.weight: 91,553/91,872 zeros (99.65%)
2342.weight: 91,206/91,584 zeros (99.59%)
2344.weight: 91,266/91,584 zeros (99.65%)
2346.weight: 90,636/91,008 zeros (99.59%)
2348.weight: 90,692/91,008 zeros (99.65%)
2350.weight: 89,496/89,856 zeros (99.60%)
2352.weight: 89,544/89,856 zeros (99.65%)
2354.weight: 87,216/87,552 zeros (99.62%)
2356.weight: 87,248/87,552 zeros (99.65%)
2358.weight: 73,410/73,728 zeros (99.57%)
2360.weight: 73,248/73,728 zeros (99.35%)
2362.weight: 73,440/73,728 zeros (99.61%)
2364.weight: 81,283/81,664 zeros (99.53%)
2366.weight: 91,553/91,872 zeros (99.65%)
2368.weight: 91,206/91,584 zeros (99.59%)
2370.weight: 91,266/91,584 zeros (99.65%)
2372.weight: 90,636/91,008 zeros (99.59%)
2374.weight: 90,692/91,008 zeros (99.65%)
2376.weight: 89,496/89,856 zeros (99.60%)
2378.weight: 89,544/89,856 zeros (99.65%)
2380.weight: 87,216/87,552 zeros (99.62%)
2382.weight: 87,248/87,552 zeros (99.65%)
2384.weight: 73,410/73,728 zeros (99.57%)
2386.weight: 85,584/86,016 zeros (99.50%)
2388.weight: 99,120/99,456 zeros (99.66%)
2390.weight: 100,204/100,640 zeros (99.57%)
2392.weight: 112,412/112,880 zeros (99.59%)
2394.weight: 124,031/124,500 zeros (99.62%)
2396.weight: 149,125/149,625 zeros (99.67%)
2398.weight: 163,089/163,590 zeros (99.69%)
2400.weight: 164,320/164,820 zeros (99.70%)
2402.weight: 165,126/165,624 zeros (99.70%)
2404.weight: 165,952/166,448 zeros (99.70%)
2406.weight: 165,960/166,448 zeros (99.71%)
2408.weight: 165,964/166,448 zeros (99.71%)
2410.weight: 164,368/164,832 zeros (99.72%)
2412.weight: 162,744/163,200 zeros (99.72%)
2414.weight: 140,370/140,800 zeros (99.69%)
2416.weight: 100,994/101,376 zeros (99.62%)
2418.weight: 82,464/82,944 zeros (99.42%)
2420.weight: 73,440/73,728 zeros (99.61%)
2422.weight: 81,283/81,664 zeros (99.53%)
2424.weight: 91,553/91,872 zeros (99.65%)
2426.weight: 91,206/91,584 zeros (99.59%)
2428.weight: 91,266/91,584 zeros (99.65%)
2430.weight: 90,636/91,008 zeros (99.59%)
2432.weight: 90,692/91,008 zeros (99.65%)
2434.weight: 89,496/89,856 zeros (99.60%)
2436.weight: 89,544/89,856 zeros (99.65%)
2438.weight: 87,216/87,552 zeros (99.62%)
2440.weight: 87,248/87,552 zeros (99.65%)
2442.weight: 73,410/73,728 zeros (99.57%)
2444.weight: 73,248/73,728 zeros (99.35%)
2446.weight: 73,440/73,728 zeros (99.61%)
2448.weight: 81,283/81,664 zeros (99.53%)
2450.weight: 91,553/91,872 zeros (99.65%)
2452.weight: 91,206/91,584 zeros (99.59%)
2454.weight: 91,266/91,584 zeros (99.65%)
2456.weight: 90,636/91,008 zeros (99.59%)
2458.weight: 90,692/91,008 zeros (99.65%)
2460.weight: 89,496/89,856 zeros (99.60%)
2462.weight: 89,544/89,856 zeros (99.65%)
2464.weight: 87,216/87,552 zeros (99.62%)
2466.weight: 87,248/87,552 zeros (99.65%)
2468.weight: 73,410/73,728 zeros (99.57%)
2470.weight: 85,584/86,016 zeros (99.50%)
2472.weight: 99,120/99,456 zeros (99.66%)
2474.weight: 100,204/100,640 zeros (99.57%)
2476.weight: 112,412/112,880 zeros (99.59%)
2478.weight: 124,031/124,500 zeros (99.62%)
2480.weight: 149,125/149,625 zeros (99.67%)
2482.weight: 163,089/163,590 zeros (99.69%)
2484.weight: 164,320/164,820 zeros (99.70%)
2486.weight: 165,126/165,624 zeros (99.70%)
2488.weight: 165,952/166,448 zeros (99.70%)
2490.weight: 165,960/166,448 zeros (99.71%)
2492.weight: 165,964/166,448 zeros (99.71%)
2494.weight: 164,368/164,832 zeros (99.72%)
2496.weight: 162,744/163,200 zeros (99.72%)
2498.weight: 140,370/140,800 zeros (99.69%)
2500.weight: 100,994/101,376 zeros (99.62%)
2502.weight: 82,464/82,944 zeros (99.42%)
2504.weight: 73,440/73,728 zeros (99.61%)
2506.weight: 81,283/81,664 zeros (99.53%)
2508.weight: 91,553/91,872 zeros (99.65%)
2510.weight: 91,206/91,584 zeros (99.59%)
2512.weight: 91,266/91,584 zeros (99.65%)
2514.weight: 90,636/91,008 zeros (99.59%)
2516.weight: 90,692/91,008 zeros (99.65%)
2518.weight: 89,496/89,856 zeros (99.60%)
2520.weight: 89,544/89,856 zeros (99.65%)
2522.weight: 87,216/87,552 zeros (99.62%)
2524.weight: 87,248/87,552 zeros (99.65%)
2526.weight: 73,410/73,728 zeros (99.57%)
2528.weight: 73,248/73,728 zeros (99.35%)
2530.weight: 73,440/73,728 zeros (99.61%)
2532.weight: 81,283/81,664 zeros (99.53%)
2534.weight: 91,553/91,872 zeros (99.65%)
2536.weight: 91,206/91,584 zeros (99.59%)
2538.weight: 91,266/91,584 zeros (99.65%)
2540.weight: 90,636/91,008 zeros (99.59%)
2542.weight: 90,692/91,008 zeros (99.65%)
2544.weight: 89,496/89,856 zeros (99.60%)
2546.weight: 89,544/89,856 zeros (99.65%)
2548.weight: 87,216/87,552 zeros (99.62%)
2550.weight: 87,248/87,552 zeros (99.65%)
2552.weight: 73,410/73,728 zeros (99.57%)
2554.weight: 85,584/86,016 zeros (99.50%)
2556.weight: 99,120/99,456 zeros (99.66%)
2558.weight: 100,204/100,640 zeros (99.57%)
2560.weight: 112,412/112,880 zeros (99.59%)
2562.weight: 124,031/124,500 zeros (99.62%)
2564.weight: 149,125/149,625 zeros (99.67%)
2566.weight: 163,089/163,590 zeros (99.69%)
2568.weight: 164,320/164,820 zeros (99.70%)
2570.weight: 165,126/165,624 zeros (99.70%)
2572.weight: 165,952/166,448 zeros (99.70%)
2574.weight: 165,960/166,448 zeros (99.71%)
2576.weight: 165,964/166,448 zeros (99.71%)
2578.weight: 164,368/164,832 zeros (99.72%)
2580.weight: 162,744/163,200 zeros (99.72%)
2582.weight: 140,370/140,800 zeros (99.69%)
2584.weight: 100,994/101,376 zeros (99.62%)
2586.weight: 82,464/82,944 zeros (99.42%)
2588.weight: 73,440/73,728 zeros (99.61%)
2590.weight: 81,283/81,664 zeros (99.53%)
2592.weight: 91,553/91,872 zeros (99.65%)
2594.weight: 91,206/91,584 zeros (99.59%)
2596.weight: 91,266/91,584 zeros (99.65%)
2598.weight: 90,636/91,008 zeros (99.59%)
2600.weight: 90,692/91,008 zeros (99.65%)
2602.weight: 89,496/89,856 zeros (99.60%)
2604.weight: 89,544/89,856 zeros (99.65%)
2606.weight: 87,216/87,552 zeros (99.62%)
2608.weight: 87,248/87,552 zeros (99.65%)
2610.weight: 73,410/73,728 zeros (99.57%)
2612.weight: 73,248/73,728 zeros (99.35%)
2614.weight: 73,440/73,728 zeros (99.61%)
2616.weight: 81,283/81,664 zeros (99.53%)
2618.weight: 91,553/91,872 zeros (99.65%)
2620.weight: 91,206/91,584 zeros (99.59%)
2622.weight: 91,266/91,584 zeros (99.65%)
2624.weight: 90,636/91,008 zeros (99.59%)
2626.weight: 90,692/91,008 zeros (99.65%)
2628.weight: 89,496/89,856 zeros (99.60%)
2630.weight: 89,544/89,856 zeros (99.65%)
2632.weight: 87,216/87,552 zeros (99.62%)
2634.weight: 87,248/87,552 zeros (99.65%)
2636.weight: 73,410/73,728 zeros (99.57%)
2638.weight: 85,584/86,016 zeros (99.50%)
2640.weight: 99,120/99,456 zeros (99.66%)
2642.weight: 100,204/100,640 zeros (99.57%)
2644.weight: 112,412/112,880 zeros (99.59%)
2646.weight: 124,031/124,500 zeros (99.62%)
2648.weight: 149,125/149,625 zeros (99.67%)
2650.weight: 163,089/163,590 zeros (99.69%)
2652.weight: 164,320/164,820 zeros (99.70%)
2654.weight: 165,126/165,624 zeros (99.70%)
2656.weight: 165,952/166,448 zeros (99.70%)
2658.weight: 165,960/166,448 zeros (99.71%)
2660.weight: 165,964/166,448 zeros (99.71%)
2662.weight: 164,368/164,832 zeros (99.72%)
2664.weight: 162,744/163,200 zeros (99.72%)
2666.weight: 140,370/140,800 zeros (99.69%)
2668.weight: 100,994/101,376 zeros (99.62%)
2670.weight: 82,464/82,944 zeros (99.42%)
2672.weight: 73,440/73,728 zeros (99.61%)
2674.weight: 81,283/81,664 zeros (99.53%)
2676.weight: 91,553/91,872 zeros (99.65%)
2678.weight: 91,206/91,584 zeros (99.59%)
2680.weight: 91,266/91,584 zeros (99.65%)
2682.weight: 90,636/91,008 zeros (99.59%)
2684.weight: 90,692/91,008 zeros (99.65%)
2686.weight: 89,496/89,856 zeros (99.60%)
2688.weight: 89,544/89,856 zeros (99.65%)
2690.weight: 87,216/87,552 zeros (99.62%)
2692.weight: 87,248/87,552 zeros (99.65%)
2694.weight: 73,410/73,728 zeros (99.57%)
2696.weight: 73,248/73,728 zeros (99.35%)
2698.weight: 73,440/73,728 zeros (99.61%)
2700.weight: 81,283/81,664 zeros (99.53%)
2702.weight: 91,553/91,872 zeros (99.65%)
2704.weight: 91,206/91,584 zeros (99.59%)
2706.weight: 91,266/91,584 zeros (99.65%)
2708.weight: 90,636/91,008 zeros (99.59%)
2710.weight: 90,692/91,008 zeros (99.65%)
2712.weight: 89,496/89,856 zeros (99.60%)
2714.weight: 89,544/89,856 zeros (99.65%)
2716.weight: 87,216/87,552 zeros (99.62%)
2718.weight: 87,248/87,552 zeros (99.65%)
2720.weight: 73,410/73,728 zeros (99.57%)
2722.weight: 93,744/94,208 zeros (99.51%)
2724.weight: 120,240/120,704 zeros (99.62%)
2726.weight: 111,052/111,520 zeros (99.58%)
2728.weight: 112,412/112,880 zeros (99.59%)
2730.weight: 124,031/124,500 zeros (99.62%)
2732.weight: 149,125/149,625 zeros (99.67%)
2734.weight: 163,089/163,590 zeros (99.69%)
2736.weight: 164,320/164,820 zeros (99.70%)
2738.weight: 165,126/165,624 zeros (99.70%)
2740.weight: 165,952/166,448 zeros (99.70%)
2742.weight: 165,960/166,448 zeros (99.71%)
2744.weight: 165,964/166,448 zeros (99.71%)
2746.weight: 164,368/164,832 zeros (99.72%)
2748.weight: 162,744/163,200 zeros (99.72%)
2750.weight: 140,370/140,800 zeros (99.69%)
2752.weight: 100,994/101,376 zeros (99.62%)
2754.weight: 82,464/82,944 zeros (99.42%)
2756.weight: 73,440/73,728 zeros (99.61%)
2758.weight: 81,283/81,664 zeros (99.53%)
2760.weight: 91,553/91,872 zeros (99.65%)
2762.weight: 91,206/91,584 zeros (99.59%)
2764.weight: 91,266/91,584 zeros (99.65%)
2766.weight: 90,636/91,008 zeros (99.59%)
2768.weight: 90,692/91,008 zeros (99.65%)
2770.weight: 89,496/89,856 zeros (99.60%)
2772.weight: 89,544/89,856 zeros (99.65%)
2774.weight: 87,216/87,552 zeros (99.62%)
2776.weight: 87,248/87,552 zeros (99.65%)
2778.weight: 73,410/73,728 zeros (99.57%)
2780.weight: 73,248/73,728 zeros (99.35%)
2782.weight: 73,440/73,728 zeros (99.61%)
2784.weight: 81,283/81,664 zeros (99.53%)
2786.weight: 91,553/91,872 zeros (99.65%)
2788.weight: 91,206/91,584 zeros (99.59%)
2790.weight: 91,266/91,584 zeros (99.65%)
2792.weight: 90,636/91,008 zeros (99.59%)
2794.weight: 90,692/91,008 zeros (99.65%)
2796.weight: 89,496/89,856 zeros (99.60%)
2798.weight: 89,544/89,856 zeros (99.65%)
2800.weight: 87,216/87,552 zeros (99.62%)
2802.weight: 87,248/87,552 zeros (99.65%)
2804.weight: 73,410/73,728 zeros (99.57%)
2806.weight: 93,744/94,208 zeros (99.51%)
2808.weight: 120,240/120,704 zeros (99.62%)
2810.weight: 111,052/111,520 zeros (99.58%)
2812.weight: 112,412/112,880 zeros (99.59%)
2814.weight: 124,031/124,500 zeros (99.62%)
2816.weight: 149,125/149,625 zeros (99.67%)
2818.weight: 163,089/163,590 zeros (99.69%)
2820.weight: 164,320/164,820 zeros (99.70%)
2822.weight: 165,126/165,624 zeros (99.70%)
2824.weight: 165,952/166,448 zeros (99.70%)
2826.weight: 165,960/166,448 zeros (99.71%)
2828.weight: 165,964/166,448 zeros (99.71%)
2830.weight: 164,368/164,832 zeros (99.72%)
2832.weight: 162,744/163,200 zeros (99.72%)
2834.weight: 140,370/140,800 zeros (99.69%)
2836.weight: 100,994/101,376 zeros (99.62%)
2838.weight: 82,464/82,944 zeros (99.42%)
2840.weight: 73,440/73,728 zeros (99.61%)
2842.weight: 81,283/81,664 zeros (99.53%)
2844.weight: 91,553/91,872 zeros (99.65%)
2846.weight: 91,206/91,584 zeros (99.59%)
2848.weight: 91,266/91,584 zeros (99.65%)
2850.weight: 90,636/91,008 zeros (99.59%)
2852.weight: 90,692/91,008 zeros (99.65%)
2854.weight: 89,496/89,856 zeros (99.60%)
2856.weight: 89,544/89,856 zeros (99.65%)
2858.weight: 87,216/87,552 zeros (99.62%)
2860.weight: 87,248/87,552 zeros (99.65%)
2862.weight: 73,410/73,728 zeros (99.57%)
2864.weight: 73,248/73,728 zeros (99.35%)
2866.weight: 73,440/73,728 zeros (99.61%)
2868.weight: 81,283/81,664 zeros (99.53%)
2870.weight: 91,553/91,872 zeros (99.65%)
2872.weight: 91,206/91,584 zeros (99.59%)
2874.weight: 91,266/91,584 zeros (99.65%)
2876.weight: 90,636/91,008 zeros (99.59%)
2878.weight: 90,692/91,008 zeros (99.65%)
2880.weight: 89,496/89,856 zeros (99.60%)
2882.weight: 89,544/89,856 zeros (99.65%)
2884.weight: 87,216/87,552 zeros (99.62%)
2886.weight: 87,248/87,552 zeros (99.65%)
2888.weight: 73,410/73,728 zeros (99.57%)
2890.weight: 93,744/94,208 zeros (99.51%)
2892.weight: 120,240/120,704 zeros (99.62%)
2894.weight: 111,052/111,520 zeros (99.58%)
2896.weight: 112,412/112,880 zeros (99.59%)
2898.weight: 124,031/124,500 zeros (99.62%)
2900.weight: 149,125/149,625 zeros (99.67%)
2902.weight: 163,089/163,590 zeros (99.69%)
2904.weight: 164,320/164,820 zeros (99.70%)
2906.weight: 165,126/165,624 zeros (99.70%)
2908.weight: 165,952/166,448 zeros (99.70%)
2910.weight: 165,960/166,448 zeros (99.71%)
2912.weight: 165,964/166,448 zeros (99.71%)
2914.weight: 164,368/164,832 zeros (99.72%)
2916.weight: 162,744/163,200 zeros (99.72%)
2918.weight: 140,370/140,800 zeros (99.69%)
2920.weight: 100,994/101,376 zeros (99.62%)
2922.weight: 82,464/82,944 zeros (99.42%)
2924.weight: 73,440/73,728 zeros (99.61%)
2926.weight: 81,283/81,664 zeros (99.53%)
2928.weight: 91,553/91,872 zeros (99.65%)
2930.weight: 91,206/91,584 zeros (99.59%)
2932.weight: 91,266/91,584 zeros (99.65%)
2934.weight: 90,636/91,008 zeros (99.59%)
2936.weight: 90,692/91,008 zeros (99.65%)
2938.weight: 89,496/89,856 zeros (99.60%)
2940.weight: 89,544/89,856 zeros (99.65%)
2942.weight: 87,216/87,552 zeros (99.62%)
2944.weight: 87,248/87,552 zeros (99.65%)
2946.weight: 73,410/73,728 zeros (99.57%)
2948.weight: 73,248/73,728 zeros (99.35%)
2950.weight: 73,440/73,728 zeros (99.61%)
2952.weight: 81,283/81,664 zeros (99.53%)
2954.weight: 91,553/91,872 zeros (99.65%)
2956.weight: 91,206/91,584 zeros (99.59%)
2958.weight: 91,266/91,584 zeros (99.65%)
2960.weight: 90,636/91,008 zeros (99.59%)
2962.weight: 90,692/91,008 zeros (99.65%)
2964.weight: 89,496/89,856 zeros (99.60%)
2966.weight: 89,544/89,856 zeros (99.65%)
2968.weight: 87,216/87,552 zeros (99.62%)
2970.weight: 87,248/87,552 zeros (99.65%)
2972.weight: 73,410/73,728 zeros (99.57%)
2974.weight: 93,744/94,208 zeros (99.51%)
2976.weight: 120,240/120,704 zeros (99.62%)
2978.weight: 111,052/111,520 zeros (99.58%)
2980.weight: 112,412/112,880 zeros (99.59%)
2982.weight: 124,031/124,500 zeros (99.62%)
2984.weight: 149,125/149,625 zeros (99.67%)
2986.weight: 163,089/163,590 zeros (99.69%)
2988.weight: 164,320/164,820 zeros (99.70%)
2990.weight: 165,126/165,624 zeros (99.70%)
2992.weight: 165,952/166,448 zeros (99.70%)
2994.weight: 165,960/166,448 zeros (99.71%)
2996.weight: 165,964/166,448 zeros (99.71%)
2998.weight: 164,368/164,832 zeros (99.72%)
3000.weight: 162,744/163,200 zeros (99.72%)
3002.weight: 140,370/140,800 zeros (99.69%)
3004.weight: 100,994/101,376 zeros (99.62%)
3006.weight: 82,464/82,944 zeros (99.42%)
3008.weight: 73,440/73,728 zeros (99.61%)
3010.weight: 81,283/81,664 zeros (99.53%)
3012.weight: 91,553/91,872 zeros (99.65%)
3014.weight: 91,206/91,584 zeros (99.59%)
3016.weight: 91,266/91,584 zeros (99.65%)
3018.weight: 90,636/91,008 zeros (99.59%)
3020.weight: 90,692/91,008 zeros (99.65%)
3022.weight: 89,496/89,856 zeros (99.60%)
3024.weight: 89,544/89,856 zeros (99.65%)
3026.weight: 87,216/87,552 zeros (99.62%)
3028.weight: 87,248/87,552 zeros (99.65%)
3030.weight: 73,410/73,728 zeros (99.57%)
3032.weight: 73,248/73,728 zeros (99.35%)
3034.weight: 73,440/73,728 zeros (99.61%)
3036.weight: 81,283/81,664 zeros (99.53%)
3038.weight: 91,553/91,872 zeros (99.65%)
3040.weight: 91,206/91,584 zeros (99.59%)
3042.weight: 91,266/91,584 zeros (99.65%)
3044.weight: 90,636/91,008 zeros (99.59%)
3046.weight: 90,692/91,008 zeros (99.65%)
3048.weight: 89,496/89,856 zeros (99.60%)
3050.weight: 89,544/89,856 zeros (99.65%)
3052.weight: 87,216/87,552 zeros (99.62%)
3054.weight: 87,248/87,552 zeros (99.65%)
3056.weight: 73,410/73,728 zeros (99.57%)
3058.weight: 93,744/94,208 zeros (99.51%)
3060.weight: 120,240/120,704 zeros (99.62%)
3062.weight: 111,052/111,520 zeros (99.58%)
3064.weight: 112,412/112,880 zeros (99.59%)
3066.weight: 124,031/124,500 zeros (99.62%)
3068.weight: 149,125/149,625 zeros (99.67%)
3070.weight: 163,089/163,590 zeros (99.69%)
3072.weight: 164,320/164,820 zeros (99.70%)
3074.weight: 165,126/165,624 zeros (99.70%)
3076.weight: 165,952/166,448 zeros (99.70%)
3078.weight: 165,960/166,448 zeros (99.71%)
3080.weight: 165,964/166,448 zeros (99.71%)
3082.weight: 164,368/164,832 zeros (99.72%)
3084.weight: 162,744/163,200 zeros (99.72%)
3086.weight: 140,370/140,800 zeros (99.69%)
3088.weight: 100,994/101,376 zeros (99.62%)
3090.weight: 82,464/82,944 zeros (99.42%)
3092.weight: 73,440/73,728 zeros (99.61%)
3094.weight: 81,283/81,664 zeros (99.53%)
3096.weight: 91,553/91,872 zeros (99.65%)
3098.weight: 91,206/91,584 zeros (99.59%)
3100.weight: 91,266/91,584 zeros (99.65%)
3102.weight: 90,636/91,008 zeros (99.59%)
3104.weight: 90,692/91,008 zeros (99.65%)
3106.weight: 89,496/89,856 zeros (99.60%)
3108.weight: 89,544/89,856 zeros (99.65%)
3110.weight: 87,216/87,552 zeros (99.62%)
3112.weight: 87,248/87,552 zeros (99.65%)
3114.weight: 73,410/73,728 zeros (99.57%)
3116.weight: 73,248/73,728 zeros (99.35%)
3118.weight: 73,440/73,728 zeros (99.61%)
3120.weight: 81,283/81,664 zeros (99.53%)
3122.weight: 91,553/91,872 zeros (99.65%)
3124.weight: 91,206/91,584 zeros (99.59%)
3126.weight: 91,266/91,584 zeros (99.65%)
3128.weight: 90,636/91,008 zeros (99.59%)
3130.weight: 90,692/91,008 zeros (99.65%)
3132.weight: 89,496/89,856 zeros (99.60%)
3134.weight: 89,544/89,856 zeros (99.65%)
3136.weight: 87,216/87,552 zeros (99.62%)
3138.weight: 87,248/87,552 zeros (99.65%)
3140.weight: 73,410/73,728 zeros (99.57%)
3142.weight: 93,744/94,208 zeros (99.51%)
3144.weight: 120,240/120,704 zeros (99.62%)
3146.weight: 111,052/111,520 zeros (99.58%)
3148.weight: 112,412/112,880 zeros (99.59%)
3150.weight: 124,031/124,500 zeros (99.62%)
3152.weight: 149,125/149,625 zeros (99.67%)
3154.weight: 163,089/163,590 zeros (99.69%)
3156.weight: 164,320/164,820 zeros (99.70%)
3158.weight: 165,126/165,624 zeros (99.70%)
3160.weight: 165,952/166,448 zeros (99.70%)
3162.weight: 165,960/166,448 zeros (99.71%)
3164.weight: 165,964/166,448 zeros (99.71%)
3166.weight: 164,368/164,832 zeros (99.72%)
3168.weight: 162,744/163,200 zeros (99.72%)
3170.weight: 140,370/140,800 zeros (99.69%)
3172.weight: 100,994/101,376 zeros (99.62%)
3174.weight: 82,464/82,944 zeros (99.42%)
3176.weight: 73,440/73,728 zeros (99.61%)
3178.weight: 81,283/81,664 zeros (99.53%)
3180.weight: 91,553/91,872 zeros (99.65%)
3182.weight: 91,206/91,584 zeros (99.59%)
3184.weight: 91,266/91,584 zeros (99.65%)
3186.weight: 90,636/91,008 zeros (99.59%)
3188.weight: 90,692/91,008 zeros (99.65%)
3190.weight: 89,496/89,856 zeros (99.60%)
3192.weight: 89,544/89,856 zeros (99.65%)
3194.weight: 87,216/87,552 zeros (99.62%)
3196.weight: 87,248/87,552 zeros (99.65%)
3198.weight: 73,410/73,728 zeros (99.57%)
3200.weight: 73,248/73,728 zeros (99.35%)
3202.weight: 73,440/73,728 zeros (99.61%)
3204.weight: 81,283/81,664 zeros (99.53%)
3206.weight: 91,553/91,872 zeros (99.65%)
3208.weight: 91,206/91,584 zeros (99.59%)
3210.weight: 91,266/91,584 zeros (99.65%)
3212.weight: 90,636/91,008 zeros (99.59%)
3214.weight: 90,692/91,008 zeros (99.65%)
3216.weight: 89,496/89,856 zeros (99.60%)
3218.weight: 89,544/89,856 zeros (99.65%)
3220.weight: 87,216/87,552 zeros (99.62%)
3222.weight: 87,248/87,552 zeros (99.65%)
3224.weight: 73,410/73,728 zeros (99.57%)
3226.weight: 93,744/94,208 zeros (99.51%)
3228.weight: 120,240/120,704 zeros (99.62%)
3230.weight: 111,052/111,520 zeros (99.58%)
3232.weight: 112,412/112,880 zeros (99.59%)
3234.weight: 124,031/124,500 zeros (99.62%)
3236.weight: 149,125/149,625 zeros (99.67%)
3238.weight: 163,089/163,590 zeros (99.69%)
3240.weight: 164,320/164,820 zeros (99.70%)
3242.weight: 165,126/165,624 zeros (99.70%)
3244.weight: 165,952/166,448 zeros (99.70%)
3246.weight: 165,960/166,448 zeros (99.71%)
3248.weight: 165,964/166,448 zeros (99.71%)
3250.weight: 164,368/164,832 zeros (99.72%)
3252.weight: 162,744/163,200 zeros (99.72%)
3254.weight: 140,370/140,800 zeros (99.69%)
3256.weight: 100,994/101,376 zeros (99.62%)
3258.weight: 82,464/82,944 zeros (99.42%)
3260.weight: 73,440/73,728 zeros (99.61%)
3262.weight: 81,283/81,664 zeros (99.53%)
3264.weight: 91,553/91,872 zeros (99.65%)
3266.weight: 91,206/91,584 zeros (99.59%)
3268.weight: 91,266/91,584 zeros (99.65%)
3270.weight: 90,636/91,008 zeros (99.59%)
3272.weight: 90,692/91,008 zeros (99.65%)
3274.weight: 89,496/89,856 zeros (99.60%)
3276.weight: 89,544/89,856 zeros (99.65%)
3278.weight: 87,216/87,552 zeros (99.62%)
3280.weight: 87,248/87,552 zeros (99.65%)
3282.weight: 73,410/73,728 zeros (99.57%)
3284.weight: 73,248/73,728 zeros (99.35%)
3286.weight: 73,440/73,728 zeros (99.61%)
3288.weight: 81,283/81,664 zeros (99.53%)
3290.weight: 91,553/91,872 zeros (99.65%)
3292.weight: 91,206/91,584 zeros (99.59%)
3294.weight: 91,266/91,584 zeros (99.65%)
3296.weight: 90,636/91,008 zeros (99.59%)
3298.weight: 90,692/91,008 zeros (99.65%)
3300.weight: 89,496/89,856 zeros (99.60%)
3302.weight: 89,544/89,856 zeros (99.65%)
3304.weight: 87,216/87,552 zeros (99.62%)
3306.weight: 87,248/87,552 zeros (99.65%)
3308.weight: 73,410/73,728 zeros (99.57%)
3310.weight: 93,744/94,208 zeros (99.51%)
3312.weight: 120,240/120,704 zeros (99.62%)
3314.weight: 111,052/111,520 zeros (99.58%)
3316.weight: 112,412/112,880 zeros (99.59%)
3318.weight: 124,031/124,500 zeros (99.62%)
3320.weight: 149,125/149,625 zeros (99.67%)
3322.weight: 163,089/163,590 zeros (99.69%)
3324.weight: 164,320/164,820 zeros (99.70%)
3326.weight: 165,126/165,624 zeros (99.70%)
3328.weight: 165,952/166,448 zeros (99.70%)
3330.weight: 165,960/166,448 zeros (99.71%)
3332.weight: 165,964/166,448 zeros (99.71%)
3334.weight: 164,368/164,832 zeros (99.72%)
3336.weight: 162,744/163,200 zeros (99.72%)
3338.weight: 140,370/140,800 zeros (99.69%)
3340.weight: 100,994/101,376 zeros (99.62%)
3342.weight: 82,464/82,944 zeros (99.42%)
3344.weight: 73,440/73,728 zeros (99.61%)
3346.weight: 81,283/81,664 zeros (99.53%)
3348.weight: 91,553/91,872 zeros (99.65%)
3350.weight: 91,206/91,584 zeros (99.59%)
3352.weight: 91,266/91,584 zeros (99.65%)
3354.weight: 90,636/91,008 zeros (99.59%)
3356.weight: 90,692/91,008 zeros (99.65%)
3358.weight: 89,496/89,856 zeros (99.60%)
3360.weight: 89,544/89,856 zeros (99.65%)
3362.weight: 87,216/87,552 zeros (99.62%)
3364.weight: 87,248/87,552 zeros (99.65%)
3366.weight: 73,410/73,728 zeros (99.57%)
3368.weight: 73,248/73,728 zeros (99.35%)
3370.weight: 73,440/73,728 zeros (99.61%)
3372.weight: 81,283/81,664 zeros (99.53%)
3374.weight: 91,553/91,872 zeros (99.65%)
